Track Number,Mahavidya,Track Title (for DistroKid),Audio File,Explicit,Language,Songwriter,Composer,Producer,Keywords
1,Kali,Mahakali Mantra for Protection & Transformation,kali stotram.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Kali, Mahakali, Protection, Transformation"
2,Tara,Tara Mantra (Neel Saraswati) for Wisdom Speech & Guidance,ॐ नमः तारायै.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Tara, Neel Saraswati, Wisdom, Speech"
3,Tripura Sundari,Tripura Sundari Mantra (Shodashi) for Divine Beauty & Bliss,Tripurasundari.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Tripura Sundari, Shodashi, Lalita, Beauty, Bliss"
4,Bhuvaneshwari,Bhuvaneshwari Mantra (Hreem) - Goddess of Space & Consciousness,॥ श्रीभुवनेश्वरी स्तोत्रम् ॥.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Bhuvaneshwari, Hreem, Space, Consciousness"
5,Chinnamasta,Chhinnamasta Mantra for Kundalini & Transcending Ego,ॐ छिन्नमस्ता महाविद्या महाभीमा महोदरी । (Cover) (Remastered).wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Chinnamasta, Kundalini, Ego, Awakening"
6,Bhairavi,Bhairavi Mantra (Tripura Bhairavi) for Inner Fire & Transformation,त्रिपुरभैरवी स्तोत्रम्.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Bhairavi, Tripura Bhairavi, Inner Fire, Tapas"
7,Dhumavati,Dhumavati Mantra - Chant of the Void for Letting Go,॥ श्री धूमावती स्तोत्रम् ॥.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Dhumavati, Void, Letting Go, Detachment"
8,Bagalamukhi,Bagalamukhi Mantra to Silence Enemies & Win Legal Battles,॥ इति श्री बगलामुखी स्तोत्रम् ॥.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Bagalamukhi, Silence Enemies, Legal Battles"
9,Matangi,Matangi Mantra (Tantric Saraswati) for Speech Music & Arts,श्रीमातङ्गीस्तोत्रम्.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Matangi, Tantric Saraswati, Creativity, Arts"
10,Kamala,Kamala Mantra (Tantric Lakshmi) for Wealth & Abundance,कमलास्तोत्रम्.wav,No,Sanskrit,Traditional,Traditional,Astrokiran,"Kamala, Tantric Lakshmi, Wealth, Abundance"
